posName,salaryStr,city,comName,posDesc,taoLableList,degreeStr,degreeStr2,workYearStr,workLocationStr,posKeywordList,industryStr,propertyStr
人事经理,10-15K,东莞,东莞市仲康电子科技有限公司,"主要工作：
1、负责制定和执行公司的人力资源战略，确保与公司整体战略目标相一致；
2、负责招聘和选拔优秀的人才，建立和维护良好的员工招聘渠道，以满足公司业务发展的需要；
3、设计和实施全面的培训计划，包括新员工入职培训、岗位培训和职业发展计划，提高员工的综合素质和能力；
4、负责管理和优化公司绩效管理体系，组织实施并对各部门绩效考核过程进行监督控制；
5、负责建立和维护良好的员工关系，处理员工投诉和纠纷，提供必要的支持和解决方案；
6、负责行政后勤事务的统筹与规划、落地有效执行；
7、负责监督和管理人力资源部门的日常运营，确保高效和顺畅的工作流程；
8、负责与政府相关部门的外联、沟通、协作，企业文化建设等。

任职要求：
1、大专及以上学历，人力资源管理或相关专业背景优先；
2、具备5年以上人力资源经理或相关职位的工作经验，熟悉人力资源管理的各个领域；
3、熟悉劳动法律法规和相关政策，具备较强的分析和解决问题的能力；
4、具备出色的沟通和协调能力，能够与不同层级的员工进行有效的沟通和合作;
5、具备数据分析和报告撰写能力；
6、具备团队合作精神和领导能力，能够激励和管理团队成员，推动工作的完成。","['带薪年假', '8小时工作制', '双休', '全勤奖', '免费培训', '节日福利', '五险', '包吃包住', '工龄奖', '年度调薪']",大专,学历不限,5年,东莞-塘厦镇,"['招聘计划', '监控', '测评', '企业文化', '企业文建设', '结果统计', '辅导计划', '决策参考依据', '考察', '招聘方案', '总经理', '后勤', '市场']",生产/制造/加工,全职
生产副总（常务副总）,35-50K,盐城,江苏中恒宠物用品股份有限公司,"汇报对象：总经理/CEO
下属团队：生产部、工程部、PMC部、质量部、设备部等（直接管理团队规模500+人）
公司规模：2000人以上制造型企业（金属加工/注塑成型/电子制造）
岗位职责：
战略规划
制定公司年度生产战略，统筹3大生产基地（金属压铸/注塑/电子组装）的产能规划与资源调配
主导智能制造升级，推动自动化生产线布局及工业4.0落地实施
生产运营管理
管控金属精密加工（CNC/冲压/焊接）、注塑成型（双色注塑/IMD）、电子SMT贴片等核心工艺全流程
建立多工厂协同生产体系，确保年产值XX亿规模下的OTD交付达标率≥98%
推行TPM全员生产维护，设备综合效率（OEE）提升至85%+
成本与质量管控
通过VAVE价值工程实现年度制造成本降低5%-8%
构建汽车电子/IATF16949质量体系，推动产品良率从95%提升至99.5%
团队建设
培养跨职能生产管理梯队，建立技术/管理双通道晋升机制
导入精益生产文化，主导季度Kaizen改善项目落地
数字化转型
主导MES/WMS系统升级，实现生产数据实时可视化
搭建工业大数据平台，建立生产预警决策模型
任职要求：
硬性条件：
15年以上大型制造企业经验，其中5年以上集团生产高管经历
同时具备金属加工（压铸/冲压）、注塑成型、电子制造三大领域实操经验
成功主导过万人规模企业的数字化工厂转型项目
精通QCDSM管理，持有PMP/六西格玛黑带证书优先
核心能力：
对注塑模具开发周期/电子元器件供应链/金属材料特性有深度认知
擅长搭建多工厂矩阵式管理模式
具备家具/健身器械/日用品/小家电等行业背景优先
英语可作为工作语言（涉及海外工厂管理者这个是加分项）
","['五险一金', '8小时工作制', '免费培训', '免费体检', '朝9晚5', '年终奖', '弹性工作时间', '包吃', '包住', '免费班车']",不限,学历不限,5年,盐城-盐都区,['生产副总'],生产/制造/加工,全职
五金模设计工程师,8-12K,东莞,东莞前盛电子有限公司,"任职条件：
1.熟悉五金冲压模具结构，模具设计或机械专业大学毕业，
2.会使用Press CAD,pro/E ，UG等设计软件；
3.三年以上经验，懂模具报价优先.
工作内容： 
1.产品图展开，工艺分析，排工序
2.模具图面绘制                           
3.模具改图与设变   
4.模具资料制作                
","['带薪年假', '8小时工作制', '年终奖', '包吃', '包住', '五险一金', '交通便利', '工作环境优美', '节日福利', '加班补助']",大专,学历不限,3年,东莞-塘厦镇,[],生产/制造/加工,全职
技术总监,25-40K,温州,科都电气股份有限公司,"1. 10年以上器具开关或低压电气开关研发技术经验，5年以上同岗位工作经历。
2. 50人以上研发团队管理经验。                                                                             
3. 深刻领会ISO9001、IATF16949体系内涵。                                                         
4. 精通器具开关或低压电气产品标准，熟悉欧美相关标准优先。                                                      5. 有中大型电气开关企业或知名企业工作经历优先。","['年终奖', '绩效奖', '免费旅游', '节日福利', '工作环境优美', '交通便利', '包住', '生日礼物', '全勤奖', '8小时工作制']",大专,学历不限,10年,温州-乐清市,"['ISO9001', 'IATF16949']",生产/制造/加工,全职
研发总监,25-50K,厦门,厦门市模敦模具有限公司,"岗位职责：
1.全面管理公司研发部门，主持推动公司各项研发事宜。                                                                                                    2.及时掌握行业最新技术发展方向，了解海内外小家电市场产品需求趋势，提出新产品开发构想，制订新产品研发计划与实施方案；                                                                                                                                                            3.培养公司技术团队，带领技术人员不断提高设计技能与研发品质；                                                                                   4.组织研发部门提供各类产品的技术规格书，检验标准及其它技术文件；                                                                         5.研发项目申请及知识产权管理，产品认证与申报管理；                                                                                                 6.研发项目的工作分配及协调安排，项目进展的跟踪；                                                                                                         7.与其它部门的协调沟通，确保研发项目运作效率和成本控制；                                                                                                                        8.研发项目申请及知识产权管理，产品认证与申报管理.

岗位要求：
1.大专学历，有小家电产品8年以上研发经理经验；
2.对小家电市场产品有分解与钻研方案；
3.熟悉小家电产品的模具相关结构。","['包吃', '养老保险', '医疗保险', '生育保险', '工伤保险', '失业保险', '交通便利', '年终奖', '免费体检', '节日福利']",大专,学历不限,不限,厦门-同安区,"['电器', '小家电', '产品总监', '研发总监']",生产/制造/加工,全职
制造业工厂工程工艺总监,30-50K,株洲,株洲亿杰电子科技有限公司,"规划工艺路线：根据产品要求和生产规模，规划工艺路线和布局，比如规划汽车制造工厂中从冲压、焊接、涂装到总装的生产线布局。

• 优化工艺流程：持续优化工艺流程，提高生产效率和产品质量，像通过引入自动化设备减少人工操作环节，降低次品率。

工艺标准制定与执行

• 制定工艺标准：制定工艺技术标准、操作规范等文件，确保生产操作的一致性，例如制定电子产品生产中的焊接温度、时间等标准。

• 监督执行情况：监督工艺标准在生产中的执行，及时纠正不规范操作。

新产品与技术研发

• 参与新产品开发：从工艺角度参与新产品的研发过程，评估工艺可行性，像研究新型材料在产品中的应用工艺。

• 推动技术创新：关注行业技术发展趋势，推动新工艺、新技术的应用，例如在工厂引入3D打印技术进行零部件生产。
","['包住', '包吃', '节日福利', '绩效奖', '五险', '工作环境优美', '免费培训', '全勤奖', '弹性工作时间']",大专,学历不限,3年,株洲-株洲县,"['AutoCAD', 'UG', '新能源', '五金', '汽车制造']",生产/制造/加工,全职
人事经理,15-20K,东莞,东莞市连大精密制品有限公司,"1.年龄30-40岁，人力资源、行政管理、工商管理等相关专业本科以上学历；
2.5年以上人力资源及行政相关工作，2年以上经理岗位工作经验；
3.了解现代企业人力资源管理模式并积累了丰富的实践经验，对人力资源管理各个
  职能模块（人资规划招聘、培训、薪酬福利、绩效、劳动关系）均有较深入的认
  识，尤其在制造型企业的招聘及员工关系模块相当熟悉，并在实践中有成功经验
4.有大型企业及台企或上市企业工作经验者优先。
5.工作地址：东莞市","['包吃', '包住', '免费培训', '餐补', '全勤奖', '带薪年假', '工作环境优美', '节日福利', '五险']",大专,学历不限,5年,东莞-大岭山镇,"['人力资源', '人事', '培训', '招聘', '招聘渠道', '人力资源管理', '行政', '绩效考核', '员工']",电子/半导体/集成电路,全职
CNC操机师傅,7-9K,东莞,东莞市朗通自动化科技有限公司,"岗位职责：
1、精通操作CNC加工中心
2、完成测试样件的加工；
3、按照提供的图纸进行加工制作；
4、刀具的日常使用及管理；
5、机床的日常维护，消耗品的及时确认及更新；

任职要求：
1、CNC加工中心2D、3D编程，熟悉三菱等系统，3年以上实际工作经验；
2、能独立使用三维软件，进行各类2D，3D模型的绘制及刀具路径的编写；
3、能独立合理的编排工件的加工工序及工件的装夹；
4、有较强的工作责任心及端正的工作态度；","['包吃', '包住']",不限,学历不限,2年,东莞-大朗镇,['三菱'],生产/制造/加工,全职
资深电气工程师,30-50K,东莞,广东康普精密技术有限公司,"1）年龄：40岁以下；
2）专业：电气自动化；
3）学历：本科及以上；
4）工作年限：从事PLC编程工作6年以上；
5）技能：精通三菱、欧姆龙、汇川PLC控制系统；熟悉使用CAD和Eplan绘图软件；
6）优先权：有锂电设备行业涂布机、辊压机，分切机，卷绕机从业经验者优先；
7）基本知识储备：
a.熟练运用PLC编程语言：梯形图、ST等；
b.熟悉各个电气元器件的作用，并能够合理应用；
c.熟悉《电工技术》、《电子技术》、《控制理论》、《信息处理》等专业基础知识；
d.能够独立编写整机控制程序；对张力、卷径计算，高速收放同步控制等有高等算法
e.会接线；
8）主要职责：
a.分切机PLC控制程序编写；
b.分切机电气元件选型和制作BOM清单；
c.分切机灌程序、调试；
d.售后现场调试，配合调试工程师解决问题；mes对接等
9）其他：具备良好的沟通能力，能够快速适应融入团队，根据项目紧急程度能够适应加班；能够适应出差；","['包住', '包吃', '年终奖', '节日福利', '五险', '试用期全薪', '绩效奖', '生日礼物', '餐补']",本科,学历不限,5年,东莞-企石镇,"['设备操作规范', '作业指导书', '落实实施年度设备改造', '保养维护计划', '设备台帐']",生产/制造/加工,全职
生产副总（常务副总）,35-50K,盐城,江苏中恒宠物用品股份有限公司,"汇报对象：总经理/CEO
下属团队：生产部、工程部、PMC部、质量部、设备部等（直接管理团队规模500+人）
公司规模：2000人以上制造型企业（金属加工/注塑成型/电子制造）
岗位职责：
战略规划
制定公司年度生产战略，统筹3大生产基地（金属压铸/注塑/电子组装）的产能规划与资源调配
主导智能制造升级，推动自动化生产线布局及工业4.0落地实施
生产运营管理
管控金属精密加工（CNC/冲压/焊接）、注塑成型（双色注塑/IMD）、电子SMT贴片等核心工艺全流程
建立多工厂协同生产体系，确保年产值XX亿规模下的OTD交付达标率≥98%
推行TPM全员生产维护，设备综合效率（OEE）提升至85%+
成本与质量管控
通过VAVE价值工程实现年度制造成本降低5%-8%
构建汽车电子/IATF16949质量体系，推动产品良率从95%提升至99.5%
团队建设
培养跨职能生产管理梯队，建立技术/管理双通道晋升机制
导入精益生产文化，主导季度Kaizen改善项目落地
数字化转型
主导MES/WMS系统升级，实现生产数据实时可视化
搭建工业大数据平台，建立生产预警决策模型
任职要求：
硬性条件：
15年以上大型制造企业经验，其中5年以上集团生产高管经历
同时具备金属加工（压铸/冲压）、注塑成型、电子制造三大领域实操经验
成功主导过万人规模企业的数字化工厂转型项目
精通QCDSM管理，持有PMP/六西格玛黑带证书优先
核心能力：
对注塑模具开发周期/电子元器件供应链/金属材料特性有深度认知
擅长搭建多工厂矩阵式管理模式
具备家具/健身器械/日用品/小家电等行业背景优先
英语可作为工作语言（涉及海外工厂管理者这个是加分项）
","['五险一金', '8小时工作制', '免费培训', '免费体检', '朝9晚5', '年终奖', '弹性工作时间', '包吃', '包住', '免费班车']",不限,学历不限,5年,盐城-盐都区,['生产副总'],生产/制造/加工,全职
